Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
#IDARB,#IDARB,2015,0,2015,Action,Tier 3,31,77,88,6.9,OtherOceanInteractive,0.09,"Action,General"
007: Quantum of Solace,007: Quantum of Solace,2008,0,2008,Action,Tier 4,42,65,59,6.6,Treyarch,1.14,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
007: Quantum of Solace,007: Quantum of Solace,2008,0,2008,Action,Tier 3,18,70,64,6.1,"Treyarch,Beenox",0.03,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
0RBITALIS,0RBITALIS,2015,0,2015,General,Tier 3,9,73,4,7.3,AlanZucconi,,"Miscellaneous,Puzzle,Action"
10 Second Ninja,10 Second Ninja,2014,0,2014,Action,Tier 3,13,72,16,7.1,GameDesignDan,0.02,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,2016,2,2014,Action,Tier 2,10,82,8,4.5,GameDesignDan,0.11,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,2016,2,2014,Action,Tier 3,16,76,22,5.4,GameDesignDan,,"Action,Platformer,2D"
1001 Spikes,1001 Spikes,2014,0,2014,Action,Tier 3,8,78,37,6.5,Nicalis,,"Action,Platformer,Platformer,2D,2D"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,11,73,24,6.6,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,9,77,8,7.3,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,33,77,54,7.7,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
112 Operator,112 Operator,2020,0,2020,Strategy,Tier 3,10,73,14,7.6,JutsuGames,,"Strategy,General"
13 Sentinels: Aegis Rim,13 Sentinels,2020,0,2020,Role-Play,Tier 2,65,86,94,8.9,Vanillaware,,"Role-Playing,Action RPG,Adventure,General"
1503 A.D. - The New World,1503 A.D.,2003,0,2003,Strategy,Tier 3,14,74,21,7.6,SunflowersInteractive,,"Strategy,Real-Time,Historic,General,Historic"
1701 A.D.,1701 A.D.,2006,0,2006,Strategy,Tier 3,30,79,45,7.8,RelatedDesigns,0.3,"Strategy,Real-Time,Historic,General,Historic"
1942: Joint Strike,1942: Joint Strike,2008,0,2008,Action,Tier 4,20,69,16,5.9,BackboneEntertainment,,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-''Em-Up,Vertical"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,2018,2,2016,Adventure,Tier 3,10,70,11,6.0,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,2018,2,2016,Adventure,Tier 3,7,77,13,7.6,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,2016,0,2016,Adventure,Tier 2,25,80,76,7.5,"N-FusionInteractiveEntertainmentCorp.,iNKStories",,"Adventure,General"
198X,198X,2019,0,2019,Action,Tier 3,7,74,15,5.9,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
198X,198X,2020,1,2019,Action,Tier 4,10,65,16,7.0,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
1nsane,1nsane,2001,0,2001,Racing,Tier 4,14,69,28,7.5,Invictus,,"Driving,Racing,Simulation,Rally / Offroad,Automobile"
2064: Read Only Memories,2064: Read Only Memories,2017,0,2017,General,Tier 3,14,76,547,3.4,MidBoss,,"General,Adventure,Point-and-Click"
2064: Read Only Memories INTEGRAL,2064: Read Only Memories,2018,1,2017,Adventure,Tier 3,7,74,12,6.7,MidBoss,,"Adventure,Point-and-Click"
20XX,20XX,2018,0,2018,Action,Tier 3,14,77,14,7.7,BatterystapleGames,,"Action,Platformer,2D"
2Dark,2Dark,2017,0,2017,Action Adventure,Tier 4,14,68,32,5.5,Gloomywood,,"Action Adventure,General"
2Dark,2Dark,2017,0,2017,Action Adventure,Tier 4,9,65,9,6.9,Gloomywood,,"Action Adventure,General"
3000th Duel,3000th Duel,2020,0,2020,Action Adventure,Tier 3,8,71,58,8.3,NEOPOPCORNCorp,,"Action Adventure,General"
39 Days to Mars,39 Days to Mars,2018,0,2018,Puzzle,Tier 3,10,71,8,4.6,It'sAnecdotal,,"Puzzle,Action"
3D Dot Game Heroes,3D Dot Game Heroes,2010,0,2010,Role-Play,Tier 3,66,77,103,8.1,SiliconStudio,0.57,"Role-Playing,Action RPG,Action RPG"
428: Shibuya Scramble,428: Shibuya Scramble,2018,0,2018,Action Adventure,Tier 2,19,85,25,7.7,SpikeChunsoft,,"Action Adventure,General"
4x4 EVO 2,4x4 Evolution,2001,1,2000,Racing,Tier 4,9,69,15,7.3,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
4x4 Evolution,4x4 Evolution,2000,0,2000,Racing,Tier 3,23,73,19,6.5,TerminalReality,,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile"
50 Cent: Blood on the Sand,50 Cent: Blood on the Sand,2009,0,2009,Action,Tier 3,37,72,68,6.8,SwordfishStudios,0.19,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade"
80 DAYS,80 DAYS,2019,4,2015,Adventure,Tier 2,8,84,9,7.8,inkle,,"Adventure,Visual Novel"
80 Days (2015),80 DAYS,2015,0,2015,Adventure,Tier 2,8,84,36,7.4,"inkle,CapeGuy",,"Adventure,Visual Novel"
88 Heroes,88 Heroes,2017,0,2017,Action,Tier 3,8,72,5,5.8,"RisingStarGames,BitmapBureau",,"Action,Platformer,2D"
88 Heroes: 98 Heroes Edition,88 Heroes,2017,0,2017,Action,Tier 4,10,65,8,6.4,BitmapBureau,,"Action,Platformer,2D"
9 Monkeys of Shaolin,9 Monkeys of Shaolin,2020,0,2020,Action,Tier 3,7,70,4,8.8,Sobaka,,"Action,Beat-''Em-Up,3D"
A Case of Distrust,A Case of Distrust,2018,0,2018,Adventure,Tier 3,11,77,11,5.5,TheWanderingBen,,"Adventure,General"
A Fisherman's Tale,A Fisherman's Tale,2019,0,2019,Adventure,Tier 3,8,78,8,5.0,InnerspaceVR,,"Adventure,General"
A Fold Apart,A Fold Apart,2020,0,2020,Adventure,Tier 3,15,77,4,7.8,LightningRodGames,,"Adventure,General"
A Hat in Time,A Hat in Time,2017,0,2017,Action,Tier 3,39,79,423,8.6,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,2017,0,2017,Action,Tier 3,17,79,92,8.1,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,2017,0,2017,Action,Tier 3,17,74,50,7.9,GearsforBreakfast,,"Action,Platformer,3D"
A Hat in Time,A Hat in Time,2019,2,2017,Action,Tier 3,7,76,41,8.0,GearsforBreakfast,,"Action,Platformer,3D"
A Plague Tale: Innocence,A Plague Tale: Innocence,2019,0,2019,Action Adventure,Tier 2,33,81,887,8.5,AsoboStudio,0.34,"Action Adventure,General,Linear"
A Plague Tale: Innocence,A Plague Tale: Innocence,2019,0,2019,Action Adventure,Tier 2,22,83,312,8.4,AsoboStudio,0.38,"Action Adventure,General,Linear"
A Plague Tale: Innocence,A Plague Tale: Innocence,2019,0,2019,Action Adventure,Tier 2,61,81,861,8.5,AsoboStudio,0.3,"Action Adventure,General,Linear"
A Short Hike,A Short Hike,2019,0,2019,Adventure,Tier 2,8,80,77,8.4,adamgryu,,"Adventure,General"
A Short Hike,A Short Hike,2020,1,2019,Adventure,Tier 2,13,88,59,8.4,adamgryu,,"Adventure,General"
A Total War Saga: Thrones of Britannia,A Total War Saga,2018,0,2018,Strategy,Tier 3,51,75,145,5.4,CreativeAssembly,,"Strategy,Real-Time,General"
A Way Out,A Way Out,2018,0,2018,Action Adventure,Tier 3,26,79,164,7.6,Hazelight,,"Action Adventure,General"
A Way Out,A Way Out,2018,0,2018,Action Adventure,Tier 3,62,78,734,7.9,Hazelight,,"Action Adventure,General"
A Way Out,A Way Out,2018,0,2018,Action,Tier 3,16,78,461,7.6,Hazelight,,"Action,Action Adventure,General"
ABZU,ABZU,2016,0,2016,Action Adventure,Tier 2,19,83,285,6.9,GiantSquid,,"Action Adventure,Adventure,General,3D,Third-Person"
ABZU,ABZU,2016,0,2016,Fantasy,Tier 3,72,78,336,7.6,GiantSquid,,"Fantasy,Action Adventure,Adventure,General,3D,Third-Person"
ABZU,ABZU,2018,2,2016,Adventure,Tier 2,21,80,25,7.8,GiantSquid,,"Adventure,3D,Third-Person"
ACA NeoGeo: Metal Slug 3,ACA NeoGeo,2017,0,2017,Action,Tier 3,7,76,35,7.7,"SNKPlaymore,Hamster",,"Action,Miscellaneous,Shooter,Compilation,Shoot-''Em-Up,Horizontal"
AI War: Fleet Command,AI,2009,0,2009,Strategy,Tier 2,8,80,109,7.9,"ArcenGames,LLC",,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
AI: The Somnium Files,AI,2019,10,2009,Action Adventure,Tier 2,12,86,499,8.9,SpikeChunsoft,,"Action Adventure,General"
AI: The Somnium Files,AI,2019,10,2009,Action Adventure,Tier 2,20,80,307,8.9,SpikeChunsoft,,"Action Adventure,General"
AMID EVIL,AMID EVIL,2019,0,2019,Action Adventure,Tier 2,9,85,64,7.1,Indefatigable,,"Action Adventure,General"
AR-K Episode 3: The Great Escape,AR-K,2015,0,2015,Adventure,Tier 3,9,78,44,7.8,GatoSalvajeStudio,,"Adventure,General"
ARMS,ARMS,2017,0,2017,Action,Tier 3,97,77,792,7.1,Nintendo,,"Action,Sports,Fighting,Individual,3D,Combat,Boxing / Martial Arts"
ATOMIK: RunGunJumpGun,ATOMIK: RunGunJumpGun,2018,0,2018,Action,Tier 3,8,78,6,8.0,Gambitious,,"Action,Platformer,Shooter,2D,Shoot-''Em-Up,Horizontal"
AVICII Invector,AVICII Invector,2019,0,2019,Action,Tier 2,12,82,12,7.7,WiredProductions,,"Action,Rhythm,Music"
AVICII Invector,AVICII Invector,2019,0,2019,Action,Tier 2,15,80,20,6.8,WiredProductions,,"Action,Rhythm,Music"
AVICII Invector Encore Edition,AVICII Invector,2020,1,2019,Action,Tier 2,11,81,6,7.3,WiredProductions,,"Action,Rhythm,Music"
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,AaaaaAAaaaAAAaaAAAAaAAAAA!!!,2009,0,2009,Action,Tier 2,15,81,97,7.1,DejobaanGames,,"Action,Sports,General,Platformer,3D"
Aaero,Aaero,2017,0,2017,Action,Tier 2,13,80,11,6.5,MadFellowsLtd,,"Action,Shooter,Rail"
Aaero,Aaero,2017,0,2017,Action,Tier 3,8,77,9,5.1,MadFellowsLtd,,"Action,Shooter,Rail"
Aaero: Complete Edition,Aaero,2018,1,2017,Action,Tier 2,7,80,6,8.0,MadFellowsLtd,,"Action,Shooter,Rail"
Absolver,Absolver,2017,0,2017,Role-Play,Tier 3,41,75,91,5.9,Sloclap,,"Role-Playing,Action RPG"
Ace Combat 7: Skies Unknown,Ace Combat,2019,8,2011,Simulation,Tier 3,17,79,105,8.0,BandaiNamcoGames,,"Simulation,Flight,Combat"
Ace Combat 7: Skies Unknown,Ace Combat,2019,8,2011,Simulation,Tier 2,69,80,331,8.0,ProjectAces,,"Simulation,Flight,Combat"
Ace Combat 7: Skies Unknown,Ace Combat,2019,8,2011,Simulation,Tier 3,14,78,168,7.0,ProjectAces,,"Simulation,Flight,Combat"
Ace Combat Assault Horizon: Enhanced Edition,Ace Combat,2013,2,2011,Action,Tier 3,14,77,181,5.8,"ProjectAces,QLOC",,"Action,Simulation,Flight,Flight,Combat"
Ace Combat: Assault Horizon,Ace Combat,2011,0,2011,Action,Tier 3,28,77,97,6.9,ProjectAces,0.74,"Action,Simulation,Flight,Flight,Combat"
Act of War: Direct Action,Act of War,2005,0,2005,Strategy,Tier 2,43,82,51,7.8,EugenSystems,,"Strategy,Real-Time,Military,General,Military"
Act of War: High Treason,Act of War,2006,1,2005,Strategy,Tier 3,8,74,28,7.5,EugenSystems,,"Strategy,Real-Time,Military,General,Military"
Advent Rising,Advent Rising,2005,0,2005,Action Adventure,Tier 3,19,70,133,8.6,GlyphXGames,,"Action Adventure,Sci-Fi,Sci-Fi,General"
Aegis Defenders,Aegis Defenders,2018,0,2018,Role-Play,Tier 3,11,76,5,5.6,GUTSDepartment,,"Role-Playing,Action RPG"
After Burner Climax,After Burner Climax,2010,0,2010,Simulation,Tier 3,24,75,22,6.7,SegaAM2,,"Simulation,Flight,Modern Jet,Modern Jet,Combat"
Afterparty,Afterparty,2019,0,2019,Adventure,Tier 3,24,75,47,6.8,NightSchoolStudio,,"Adventure,General"
Afterparty,Afterparty,2019,0,2019,Adventure,Tier 3,12,75,35,6.8,NightSchoolStudio,,"Adventure,General"
Agatha Christie: And Then There Were None,Agatha Christie,2005,0,2005,Adventure,Tier 4,28,68,35,7.5,AWEGames,0.02,"Adventure,First-Person,3D,Point-and-Click,Modern,Third-Person,Modern"
Agatha Christie: Evil Under the Sun,Agatha Christie,2007,2,2005,Adventure,Tier 4,18,66,20,7.2,AWEGames,0.01,"Adventure,3D,Modern,Third-Person,Modern"
Agatha Christie: The ABC Murders,Agatha Christie,2016,11,2005,Adventure,Tier 4,0,66,16,8.5,Kalypso,0.02,"Adventure,General,Point-and-Click"
Agatha Christie's The ABC Murders,Agatha Christie,2016,11,2005,Adventure,Tier 4,17,67,22,6.0,Microids,0.03,"Adventure,3D,Third-Person"
Agatha Christie's The ABC Murders,Agatha Christie,2016,11,2005,Adventure,Tier 4,7,66,10,6.6,Microids,0.01,"Adventure,3D,Third-Person"
Age of Conan: Hyborian Adventures,Age of Conan,2008,0,2008,Role-Play,Tier 2,44,80,825,7.3,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Age of Conan: Rise of the Godslayer,Age of Conan,2010,2,2008,Role-Play,Tier 2,14,83,60,7.6,Funcom,0.03,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Age of Empires,Age of Empires,1997,0,1997,Strategy,Tier 2,9,83,361,8.7,EnsembleStudios,,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires II: Definitive Edition,Age of Empires,2019,22,1997,Strategy,Tier 2,32,84,229,8.9,"EnsembleStudios,ForgottenEmpiresLLC",,"Strategy,Real-Time,Command"
Age of Empires II: HD Edition,Age of Empires,2013,16,1997,Strategy,Tier 4,20,68,630,7.9,"EnsembleStudios,HiddenPathEntertainment",,"Strategy,Miscellaneous,Real-Time,Compilation,Historic,Command"
Age of Empires II: The Age of Kings,Age of Empires,1999,2,1997,Strategy,Tier 1,21,92,1165,9.1,EnsembleStudios,0.09,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires II: The Conquerors Expansion,Age of Empires,2000,3,1997,Strategy,Tier 2,21,88,428,9.1,EnsembleStudios,,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III,Age of Empires,2005,8,1997,Strategy,Tier 2,52,81,669,7.8,EnsembleStudios,0.38,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III: Definitive Edition,Age of Empires,2020,23,1997,Strategy,Tier 3,44,75,50,5.2,Tantalus,0.17,"Strategy,Real-Time,Command"
Age of Empires III: The Asian Dynasties,Age of Empires,2007,10,1997,Strategy,Tier 2,19,81,95,8.4,BigHugeGames,0.06,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires III: The WarChiefs,Age of Empires,2006,9,1997,Strategy,Tier 2,26,80,96,7.8,EnsembleStudios,0.03,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires Online,Age of Empires,2011,14,1997,Strategy,Tier 3,44,70,186,5.7,GasPoweredGames,0.06,"Strategy,Real-Time,Historic,Historic,Command"
Age of Empires: Definitive Edition,Age of Empires,2018,21,1997,Strategy,Tier 4,50,69,146,6.2,"MicrosoftGameStudios,ForgottenEmpiresLLC",0.14,"Strategy,Real-Time,Command"
Age of Mythology,Age of Empires,2002,5,1997,Strategy,Tier 2,31,89,652,8.9,EnsembleStudios,0.09,"Strategy,Real-Time,Fantasy,General,Fantasy"
Age of Mythology: Extended Edition,Age of Mythology,2014,11,2003,Strategy,Tier 4,7,66,158,7.3,EnsembleStudios,,"Strategy,Real-Time,General,Fantasy"
Age of Mythology: The Titans,Age of Mythology,2003,0,2003,Strategy,Tier 2,25,84,164,8.8,EnsembleStudios,0.04,"Strategy,Real-Time,Fantasy,General,Fantasy"
Age of Wonders II: The Wizard's Throne,Age of Wonders,2002,0,2002,Strategy,Tier 2,20,86,66,8.4,TriumphStudios,0.02,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Age of Wonders III,Age of Wonders,2014,12,2002,Strategy,Tier 2,35,80,594,8.0,TriumphStudios,0.05,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Age of Wonders III - Eternal Lords,Age of Wonders,2015,13,2002,Strategy,Tier 2,10,80,111,8.4,TriumphStudios,,"Strategy,Turn-Based,General"
Age of Wonders III - Golden Realms,Age of Wonders,2014,12,2002,Fantasy,Tier 2,8,82,98,8.5,TriumphStudios,,"Fantasy,Strategy,Turn-Based,General"
Age of Wonders: Planetfall,Age of Wonders,2019,17,2002,Strategy,Tier 2,10,85,25,6.5,TriumphStudios,0.03,"Strategy,Turn-Based,General"
Age of Wonders: Planetfall,Age of Wonders,2019,17,2002,Strategy,Tier 2,42,81,93,7.5,TriumphStudios,0.08,"Strategy,Turn-Based,General"
Age of Wonders: Shadow Magic,Age of Wonders,2003,1,2002,Strategy,Tier 2,22,82,98,8.5,TriumphStudios,,"Strategy,Turn-Based,Fantasy,General,Fantasy"
Agent A: A Puzzle In Disguise,Agent A,2019,0,2019,Puzzle,Tier 3,9,79,15,7.7,Yak&Co,,"Puzzle,General"
Agents of Mayhem,Agents of Mayhem,2017,0,2017,Action Adventure,Tier 3,18,73,54,6.3,VolitionInc.,,"Action Adventure,Open-World"
Agents of Mayhem,Agents of Mayhem,2017,0,2017,Action Adventure,Tier 4,22,68,109,5.4,VolitionInc.,,"Action Adventure,Open-World"
Aggressors: Ancient Rome,Aggressors: Ancient Rome,2018,0,2018,Strategy,Tier 3,7,76,13,8.2,KubatSoftware,,"Strategy,Turn-Based,4X"
Aion,Aion,2009,0,2009,Role-Play,Tier 3,42,76,452,6.6,NCSOFT,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
Airborne Assault: Highway to the Reich,Airborne Assault,2003,1,2002,Strategy,Tier 2,11,81,8,6.1,PantherGames,0.12,"Strategy,Real-Time,Wargame,Real-Time,General"
Airborne Assault: Red Devils Over Arnhem,Airborne Assault,2002,0,2002,Strategy,Tier 2,8,82,5,7.4,PantherGames,0.14,"Strategy,Wargame,Turn-Based"
Airfix Dogfighter,Airfix Dogfighter,2000,0,2000,Simulation,Tier 3,7,75,39,7.7,ParadoxInteractive,,"Simulation,Flight,Modern Jet,Modern Jet,Combat"
Airscape: The Fall of Gravity,Airscape: The Fall of Gravity,2015,0,2015,Action,Tier 3,9,75,15,6.6,Cross-Product,,"Action,Platformer,2D"
Al Emmo and the Lost Dutchman's Mine,Al Emmo and the Lost Dutchman's Mine,2006,0,2006,Adventure,Tier 3,7,77,21,7.1,HimalayaStudios,,"Adventure,Third-Person,Point-and-Click,Modern,Modern"
Alan Wake,Alan Wake,2012,0,2012,Action Adventure,Tier 2,30,83,1892,8.0,RemedyEntertainment,0.06,"Action Adventure,Modern,Horror,Horror,Survival"
Alice: Madness Returns,Alice: Madness Returns,2011,0,2011,Action Adventure,Tier 3,29,75,665,8.4,SpicyHorse,0.12,"Action Adventure,Adventure,General,Horror,Horror,Survival"
Alien Swarm,Alien Swarm,2010,0,2010,Action,Tier 3,11,77,440,8.2,ValveSoftware,,"Action,Shooter,Shooter,Third-Person,Tactical,Modern"
Alien: Isolation,Alien: Isolation,2014,0,2014,Action Adventure,Tier 2,41,81,1941,8.5,CreativeAssembly,0.14,"Action Adventure,Sci-Fi,General,Survival"
Alien: Isolation,Alien: Isolation,2014,0,2014,Action Adventure,Tier 3,50,79,1160,8.2,CreativeAssembly,1.13,"Action Adventure,Sci-Fi,General,Survival"
Alien: Isolation,Alien: Isolation,2014,0,2014,Action Adventure,Tier 3,24,78,396,8.0,CreativeAssembly,0.51,"Action Adventure,Sci-Fi,General,Survival"
Alien: Isolation,Alien: Isolation,2019,5,2014,Action Adventure,Tier 2,27,83,68,8.5,"CreativeAssembly,FeralInteractive",,"Action Adventure,Survival"
Alienation,Alienation,2016,0,2016,Sci-Fi,Tier 3,63,79,211,7.8,Housemarque,,"Sci-Fi,Action,Shooter,Third-Person,Shoot-''Em-Up,Arcade,Top-Down"
Aliens Versus Predator 2,Aliens vs Predator,2001,0,2001,Action,Tier 2,27,85,209,8.7,MonolithProductions,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Aliens vs. Predator,Aliens vs Predator,2010,9,2001,Action,Tier 4,35,68,1057,7.4,Rebellion,,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
Aliens vs. Predator,Aliens vs Predator,2010,9,2001,Action,Tier 4,57,65,180,7.3,Rebellion,,"Action,General,Shooter,First-Person,Sci-Fi,Arcade"
Allegiance,Allegiance,2000,0,2000,Simulation,Tier 2,17,86,16,7.3,MicrosoftGameStudios,,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat"
Alone in the Dark: Inferno,Alone in the Dark,2008,7,2001,Action Adventure,Tier 4,25,69,66,5.5,EdenStudios,0.13,"Action Adventure,Horror,Horror,Survival"
Alone in the Dark: The New Nightmare,Alone in the Dark,2001,0,2001,Action Adventure,Tier 4,16,66,43,7.7,SpiralHouse,,"Action Adventure,Horror,Horror,Survival"
Alwa's Legacy,Alwa's Legacy,2020,0,2020,Action Adventure,Tier 2,13,80,7,8.0,EldenPixels,,"Action Adventure,General"
America's Army,America's Army,2002,0,2002,Action,Tier 2,13,82,35,5.8,U.S.Army,,"Action,Shooter,Shooter,First-Person,Tactical,Modern"
American Conquest,American Conquest,2003,0,2003,Strategy,Tier 3,15,76,55,7.8,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
American Conquest: Fight Back,American Conquest,2003,0,2003,Strategy,Tier 4,10,66,24,7.9,GSCGameWorld,,"Strategy,Real-Time,Historic,Historic,Command"
American McGee's Alice,American McGee's Alice,2000,0,2000,Action Adventure,Tier 2,34,85,200,8.0,RogueEntertainment,,"Action Adventure,Horror,Horror,Survival"
American Truck Simulator,American Truck Simulator,2016,0,2016,Simulation,Tier 3,31,76,248,7.0,SCSSoftware,,"Simulation,Vehicle,Civilian"
Amnesia Collection,Amnesia,2016,6,2010,General,Tier 3,27,78,79,7.0,FrictionalGames,,"Miscellaneous,Compilation"
Amnesia Collection,Amnesia,2019,9,2010,General,Tier 3,7,76,11,7.5,FrictionalGames,,"Miscellaneous,Compilation"
Amnesia: A Machine for Pigs,Amnesia,2013,3,2010,Horror,Tier 3,59,72,904,5.9,FrictionalGames,,"Horror,Horror,Action Adventure,Survival"
Amnesia: Rebirth,Amnesia,2020,10,2010,Action Adventure,Tier 2,48,81,148,6.3,FrictionalGames,,"Action Adventure,Survival"
Amnesia: Rebirth,Amnesia,2020,10,2010,Action Adventure,Tier 3,29,74,34,6.7,FrictionalGames,,"Action Adventure,Survival"
Amnesia: The Dark Descent,Amnesia,2010,0,2010,Action Adventure,Tier 2,44,85,1465,8.6,FrictionalGames,,"Action Adventure,Horror,Horror,Survival"
Anachronox,Anachronox,2001,0,2001,Role-Play,Tier 3,18,77,84,7.9,IonStorm,,"Role-Playing,Third-Person,Third-Person,General,Japanese-Style"
Anarchy Online,Anarchy Online,2001,0,2001,Role-Play,Tier 3,11,72,43,7.2,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarchy Online: Alien Invasion,Anarchy Online,2004,3,2001,Role-Play,Tier 3,17,73,13,6.9,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarchy Online: Shadowlands,Anarchy Online,2003,2,2001,Role-Play,Tier 2,15,85,23,8.4,Funcom,,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
Anarcute,Anarcute,2016,0,2016,Action,Tier 3,7,79,10,7.3,Anarteam,,"Action,General"
Ancestors Legacy,Ancestors Legacy,2018,0,2018,Strategy,Tier 3,22,77,106,7.2,DestructiveCreations,,"Strategy,Real-Time,General,Command"
And Yet It Moves,And Yet It Moves,2009,0,2009,Action,Tier 3,10,75,110,6.2,BrokenRules,,"Action,Platformer,Platformer,2D,2D"
Angry Birds Trilogy,Angry Birds,2012,0,2012,Action,Tier 4,8,66,22,4.1,"RovioMobile,RovioEntertainment",0.16,"Action,Miscellaneous,General,General,Compilation"
Angry Birds VR: Isle of Pigs,Angry Birds,2019,7,2012,Puzzle,Tier 3,8,78,12,4.8,ResolutionGames,0.09,"Puzzle,Action"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,2013,0,2013,Action,Tier 3,7,77,117,7.6,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Angry Video Game Nerd Adventures,Angry Video Game Nerd Adventures,2013,0,2013,Action,Tier 3,7,77,117,7.6,FreakZone,,"Action,Platformer,Platformer,2D,2D"
Animal Crossing: New Horizons,Animal Crossing,2020,0,2020,Simulation,Tier 1,110,90,5736,5.4,Nintendo,,"Simulation,Virtual,Virtual Life"
Anno 1800,Anno,2019,8,2011,Strategy,Tier 2,49,81,335,7.9,BlueByte,,"Strategy,Management,Government"
Anno 2070,Anno,2011,0,2011,Strategy,Tier 2,33,83,524,7.1,"BlueByte,RelatedDesigns",1.43,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General"
Anodyne,Anodyne,2013,0,2013,Action Adventure,Tier 3,11,75,69,6.7,AnalgesicProductions,,"Action Adventure,Adventure,General,General,Open-World"
Anomaly 2,Anomaly,2013,2,2011,Action,Tier 3,27,77,114,7.7,11bitstudios,,"Action,Strategy,General,Real-Time,Sci-Fi,Sci-Fi,General"
Anomaly: Warzone Earth,Anomaly,2011,0,2011,Strategy,Tier 2,36,80,174,7.3,11bitstudios,,"Strategy,Real-Time,General,Sci-Fi,General"
Anomaly: Warzone Earth,Anomaly,2012,1,2011,Action,Tier 3,10,78,13,7.0,11bitstudios,,"Action,Strategy,General,Real-Time,Sci-Fi,General"
Another World,Another World,2018,0,2018,Action,Tier 3,13,75,16,7.8,TheDigitalLounge,,"Action,Platformer,2D"
Antichamber,Antichamber,2013,0,2013,General,Tier 2,50,82,597,8.3,Demruth,,"Miscellaneous,Puzzle,General,Puzzle,General"
Antihero,Antihero,2017,0,2017,Strategy,Tier 2,14,81,20,6.9,TimConkling,,"Strategy,Turn-Based,Tactics"
Ape Out,Ape Out,2019,0,2019,Action,Tier 2,31,84,79,6.3,GabeCuzzillo,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
Ape Out,Ape Out,2019,0,2019,Action,Tier 2,34,83,69,6.9,GabeCuzzillo,,"Action,Shooter,Shoot-''Em-Up,Top-Down"
Apex Legends,Apex Legends,2019,0,2019,Action,Tier 2,28,89,1303,6.8,RespawnEntertainment,,"Action,Shooter,First-Person,Tactical"
Apex Legends,Apex Legends,2019,0,2019,Action,Tier 2,25,88,1188,6.0,RespawnEntertainment,,"Action,Shooter,First-Person,Tactical"
